PM10,SO2,CO,NO2,HKIsonuc
80.77,11.6,616.14,17.22,0
82.27,16.59,680.47,16.71,2
54.89,6.72,351.48,12.12857627118644,1
42.86,6.39,303.36,14.53,1
25.34,8.82,167.53,17.24,0
38.47,9.04,404.71,9.08,1
50.28,9.66,402.03,13.6,0
30.43,9.82,321.63,15.94,0
38.9,10.14,534.47,12.34,1
69.16,13.27,789.58,14.52,1
75.18,16.21,842.12,12.46,1
49.31,5.55,415.28,12.13,1
50.21,10.91,340.9,15.36,0
33.25,8.25,362.83,10.54,0
70.66,5.14,397.22,8.64,1
97.01,6.21,539.17,11.23,2
76.83,5.71,570.82,7.68,1
45.77,3.79,448.98,12.12857627118644,1
76.61,8.81,673.58,12.12857627118644,1
101.0,12.46,911.66,14.39,2
46.48,2.57,401.48,12.12857627118644,1
69.84,6.16,580.62,12.55,1
36.61,3.51,532.63,12.12857627118644,0
64.72,11.54,986.57,18.44,1
64.64,5.87,633.82,13.52,1
48.54,2.93,404.05,12.12857627118644,1
42.39,4.72,493.0,12.12857627118644,1
56.56,7.54,694.68,8.12,1
45.04,5.15,674.08,12.12857627118644,1
49.5,5.62,684.7,10.12,1
58.73,13.6,955.07,11.62,1
54.41,8.06,727.71,8.16,1
57.83,12.67,878.08,10.17,1
73.7,15.6,1130.45,11.23,1
48.16,5.75,709.25,10.14,1
29.18,2.92,617.1,4.85,0
60.92,9.42,952.02,13.74,1
56.39,10.29,933.11,10.65,1
50.58,11.74,931.79,8.21,0
52.58,8.08,926.53,8.69,1
45.0,2.36,704.95,8.97,1
37.31,2.48,643.16,14.15,1
32.98,3.4,725.96,12.12857627118644,0
44.61,6.53,899.4,8.84,1
43.9,3.86,855.35,6.5,1
57.2,10.1,1065.41,7.89,1
56.79,7.89,1001.78,13.65,1
45.88,6.32,992.31,8.45,1
44.05,8.29,922.65,9.54,1
63.43,11.21,1168.65,13.4,1
46.03,7.08,1000.21,7.66,1
35.09,4.15,925.08,12.12857627118644,1
28.71,3.42,882.19,12.12857627118644,0
26.95,2.42,911.05,12.12857627118644,0
31.99,1.66,885.36,12.12857627118644,0
32.65,2.42,946.71,4.16,0
26.48,1.66,834.88,12.12857627118644,0
30.82,2.39,921.55,12.12857627118644,0
31.27,3.06,979.51,12.12857627118644,0
43.38,9.58,1104.3,6.99,1
42.31,8.14,1100.88,12.12857627118644,1
41.01,4.13,941.73,12.12857627118644,1
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
44.98,3.18,1174.78,8.7,1
44.76,1.46,957.09,12.12857627118644,1
53.55,1.92,944.76,12.12857627118644,1
54.68,16.41,945.68,11.91,1
36.76,1.28,1010.23,12.12857627118644,1
34.39,1.67,927.58,12.12857627118644,0
55.02,5.12,1104.34,12.12857627118644,1
42.23,14.141798107255514,1013.65,12.12857627118644,1
50.43073394495411,14.141798107255514,961.8517948717947,12.12857627118644,0
17.38,0.9,821.74,3.26,0
21.44,1.4,865.07,12.12857627118644,0
29.15,3.2,1047.95,12.12857627118644,0
27.73,1.89,1011.79,12.12857627118644,0
40.77,8.55,1007.48,7.22,1
22.28,1.3,956.88,12.12857627118644,0
25.72,1.43,1006.69,12.12857627118644,0
27.27,2.78,966.05,12.12857627118644,0
26.88,2.12,1018.85,12.12857627118644,0
20.26,1.7,975.37,12.12857627118644,0
24.13,2.66,683.6,12.12857627118644,0
50.43073394495411,4.87,584.43,7.3,0
30.87,4.97,517.45,6.71,0
46.73,11.47,404.81,10.11,1
63.44,33.71,450.11,19.84,1
50.72,5.81,463.51,8.26,0
44.07,7.9,421.24,7.27,1
58.07,52.48,435.19,26.91,2
